Gene_ID	SUPeR-seqpool-split1	SUPeR-seqpool-split2	SUPeR-seqpool-split4	SUPeR-seqpool-split3	SUPeR-seqpool-split6	SUPeR-seqpool-split5	SUPeR-seqpool-split8	SUPeR-seqpool-split7	SUPeR-seqpool-split9	SUPeR-seqpool-split10
ENSG00000228794.4	0	66.0995	12.602	11.8684	0.0169586	7.07325	0	27.4204	4.56765	0
ENSG00000230368.2	0.0184839	0	0	0	0	0.0835888	0	1.18302	2.50707	0.512772
ENSG00000234711.1	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	0	0	0	0	0	0	2.96992E-08	0	0	0
ENSG00000230699.2	0	0	0	0	0	0	0.0189638	0	0	0
ENSG00000241180.1	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	26.7926	0	0	0	0	0	0	0.356575	0.17684	4.13777
ENSG00000187583.6	0	0	0	0	0	0	0	0	0	0
ENSG00000187642.5	0	0	0	0	0	0	0	0	0	0
ENSG00000272512.1	0	0	0	0	0	0	0	0	0	1.58781
ENSG00000187961.9	11.4419	0	0	0	0	0	0	0	0	32.2532
ENSG00000231702.2	0	0	0	0	0	0	0	0	0	0
ENSG00000188290.6	0	0	0	0	0.135007	0	0	0	0	0
ENSG00000224969.1	0	0	0	0	0	0	0	0	0	0
ENSG00000187608.5	0	0	0	0	0	0	0	0	0	60.8168
ENSG00000237330.2	0	0	0	0	0	0	0	0	0	0
ENSG00000237491.4	3.92743	10.8483	43.3293	0	1.47595	0	0	0	0	0
ENSG00000177757.1	0	0	0	0	0	0	0	0	0	0
ENSG00000230092.3	0.00209266	0	0	0	0	0	0	0	0	0
ENSG00000269831.1	0	0	0	0	0	0	0	0	0	0
ENSG00000240453.1	0	0	0	0	0	0	0	0	0	0
ENSG00000217801.5	0	0.767055	39.7201	0	0.0115074	0	153.487	0	0.579327	0
ENSG00000273443.1	0	0	0	0	0	0	6.06E-80	0	0	0
ENSG00000187634.6	8.51704	17.69	30.5817	1.64506E-14	9.96328	6.82785E-12	0.0410458	19.3138	1.20185E-62	0
ENSG00000268179.1	0	0	0	0	0	0	0	0	0	0
ENSG00000188976.6	0	22.98	17.2327	46.2375	27.9736	2.32105	0.077646	9.00749	31.6811	0
ENSG00000207730.1	0	0	0	0	0	0	0	0	0	0
ENSG00000207607.1	0	0	0	0	0	0	0	0	0	0
ENSG00000223823.1	0	0	0	0	0	0	0	0	0	0
ENSG00000188157.9	0.00444141	0	1.30528E-07	0	9.01223E-08	0	0	0	0	1.14179E-07
ENSG00000242590.1	0	0	1.22097	0	0.127812	0	0	0	0	0.4651
ENSG00000272141.1	0	0	0	0	0	0	0	0	0	0
ENSG00000198976.1	0	0	0	0	0	0	0	0	0	0
ENSG00000186891.9	0	0	0	0	0	0	0	0	0	0
ENSG00000186827.6	0	0	0	0	0	0	0	0	0	0
ENSG00000176022.3	1.92992	3.22305	19.5215	0.234263	46.7397	0.161861	0.024336	11.8807	16.1946	16.5921
ENSG00000184163.3	0	0	0	0	0	0	0	0	0	0
ENSG00000205231.1	0	0	0	0	0	0	0	0	0	0
ENSG00000162571.9	0.00666906	0	0	0	0	0	0	0	0	0
ENSG00000260179.1	0	0	0	0	0	0	0	0	0	0
ENSG00000230415.1	0.0320422	0	0	0	0	0	0	0	0	0
ENSG00000078808.12	14.904	0	0	0	25.1584	0.480543	0.290082	0	0	1.63505
ENSG00000162572.15	0.140477	0	0	0	0	0	0	1.91173	0	0
ENSG00000224051.2	0.0815304	0.469006	0.0655411	1.07734	0.442821	0	0.0956781	33.5875	21.2514	13.0245
ENSG00000169962.4	0	0	0	0	0	0	0	0	0	0.0519686
ENSG00000107404.13	12.987	4.04185	5.43931	33.4786	0.0803695	2.4108	0.555057	0.0502833	1.67446	5.63157
ENSG00000162576.12	57.3434	0	0	0	0	0	0.00700581	0	0	0
ENSG00000223663.2	0	0	0	0	45.9129	0	0	0	0	0
ENSG00000131591.13	0.198644	0	59.0305	3.64838	30.9415	0	0	57.6874	0	51.7188
ENSG00000175756.9	223.75	136.723	130.95	186.989	174.006	164.009	224.004	248.607	213.253	280.831
ENSG00000221978.7	0	49.9843	5.57443	28.1875	5.93337	0.223996	0.444576	0.0796217	11.168	3.15869
ENSG00000272455.1	0	0	0	0	0	0	0	0	0	0
ENSG00000160087.16	0.217207	16.8818	52.1214	159.006	277.127	211.486	108.514	115.564	136.384	10.72
ENSG00000205116.3	0	0	0	0	0	0	0	0	0	0
ENSG00000235098.4	0	0	0	0	0	0	0	0	0	0
ENSG00000225905.1	0	0	0	0	0	0	0	0	0	0
ENSG00000225285.1	0.041868	0	0	0	0	0	0	0	0	0
ENSG00000215915.5	0.00392502	0.199939	0	0.0688034	0.208798	0.107986	0.0242989	0.0621269	0	0.170672
ENSG00000179403.10	1.58277	4.55617	0	0	0	0	0.750116	0.922626	4.35528	3.79086
ENSG00000205090.4	0	0	0	0	0	0	0	0	0	0
ENSG00000160072.15	10.2039	57.2169	16.601	4.87766	0.623259	100.377	5.59205	5.41565	8.22737	21.8019
ENSG00000215014.3	0	0	0	7.33874	0	0	0	0	0	0
ENSG00000224870.3	16.264	2.01639E-140	97.9712	0.497491	0.354912	0.444898	31.6282	2.02496	2.06067E-92	8.37266E-106
ENSG00000242485.1	296.44	238.18	253.905	308.91	430.371	507.734	344.862	542.77	298.208	378.008
ENSG00000264293.1	0	0	0	0	0	0	0	0	0	0
ENSG00000236684.1	0	0	0	0	0	0	0	0	0	0
ENSG00000228594.1	0	42.3235	17.6357	4.29957	0	0.968846	0.0337144	0	0	0
ENSG00000189409.8	0.0543128	0	0	0	0	0	0	0	0	0
ENSG00000248333.3	0.892242	6.18983	4.45903	7.06703	3.45809	0.160924	0.780235	1.88477	3.18973	2.00023
ENSG00000160075.10	66.5491	14.8264	191.642	50.8193	21.784	47.7087	11.5326	182.839	52.0082	31.3534
ENSG00000215791.2	12.7776	0	19.9808	39.7463	0.0556501	4.23701	42.012	0.0697799	7.58597	7.65766
ENSG00000215914.3	0	0	0	0	0	0	0	0	0	0
ENSG00000272004.1	4.81645	6.77015	59.0125	21.3635	19.7023	36.559	29.5677	1.97576	3.72174	10.8331
ENSG00000269737.1	0	0	0	0	0	0	0	0	0	0
ENSG00000269227.1	0	0	0	0	0	0	0	0	0	0
ENSG00000189339.7	0.123542	8.16986	30.0732	14.3458	2.03265	15.3727	21.6059	47.4384	17.3318	1.36255
ENSG00000272106.1	0.0884327	0.127179	5.68947	0	0	0	0.0345995	0	15.8798	0
ENSG00000197530.8	0.0615795	0	15.9634	0	0.436839	0	0	0	19.705	0
ENSG00000197785.9	33.7971	13.7697	26.3753	72.9955	44.9881	18.6916	46.67	11.8642	44.0398	30.1073
ENSG00000231050.1	0	0	0	0	0	0	0	0	8.06643	0
ENSG00000169885.5	0	0	0	0	0	0	0	0	0	0
ENSG00000008128.18	1.34902	2.4893	14.6971	5.46903	2.6069	0.0865113	0.261982	0.200497	2.57161	4.63061
ENSG00000268575.1	5.91367E-14	9.28002E-05	6.04321E-05	8.01711E-13	2.20045E-13	6.31258E-14	1.29095E-13	1.20651E-14	4.31332E-09	3.92114E-17
ENSG00000215790.2	1.17433E-07	1.30908E-71	1.92693E-94	2.07454E-07	1.23329E-07	1.86286E-07	8.80353E-08	2.19469E-07	3.04761	2.07315E-10
ENSG00000227775.3	2.80579	1.15094	6.43781	2.91831	2.8733	7.22396	3.4617	15.1075	3.81821	2.32319
ENSG00000178821.8	0	2.34229	0	0	0	0	0	11.7325	0	0
ENSG00000233542.1	0	0	0	0	0	0	0	0	0	0
ENSG00000187730.6	0	0	0	0	0	0	0	0	0	0
ENSG00000226969.1	0	0	0	60.619	0	0	0	0	0	0
ENSG00000142609.13	0.00972503	0	0	0	0	0.00169473	0.000758756	0.171079	0	0
ENSG00000008130.11	65.5874	42.0195	0.669506	8.1066	72.4504	114.208	23.2661	25.6316	33.0774	25.8162
ENSG00000157933.9	2.5427	2.63606	0.0236969	0	0	0	0	0.00165594	4.6024	0.725594
ENSG00000078369.13	147.634	190.675	118.836	130.902	104.922	82.4218	124.667	69.0104	231.9	152.812
ENSG00000116151.9	1.88986	17.4102	78.1272	25.5855	0.356527	66.0988	0.00022056	0.195024	2.55853	1.47423
ENSG00000272161.1	0	0	0	0	0	0	0	0	0	0
ENSG00000269896.1	0	0	0	0	0	1.00231	0	0	0	0.358754
ENSG00000238240.2	0	0	0	0	0	0	0	0	0	0.000742635
ENSG00000272420.1	0	0	0	0	0	0	0	0	0	0
ENSG00000271921.1	0	0	0	0	0	0	0	0	0	0
ENSG00000271847.1	0.44264	0	0	0	24.6297	14.8725	0	0	0	0
ENSG00000269753.1	0	0	0	0	0	0	0	0	0	0
ENSG00000178642.5	0	0	0	1.78215E-59	0	3.2054E-160	0	0	0	0
ENSG00000149527.13	0.00403526	0	0	0	0	0	0	0	0	0
ENSG00000224387.1	0.218165	0	0	0	0	0	0	0	0	0
ENSG00000229393.1	0	0	0	0	0	0	0	0	0	0
ENSG00000157881.9	0.00890784	0	0	15.489	0	0	0	12.4593	14.0312	16.152
ENSG00000272449.1	0	0	0	0	0.285349	1.44187	16.7228	0.180923	0	0.259867
ENSG00000197921.5	0	0	0	0.703952	0	0	0	0	0	2.20569
ENSG00000225931.3	0	0	0	0	0	0	0	0	0	0
ENSG00000228037.1	0	0	0	0	0	0	0	0	0	0
ENSG00000157916.14	188.24	392.877	86.8666	179.304	135.569	116.234	190.445	88.2881	70.1555	49.9951
ENSG00000157911.5	13.7355	65.0848	4.155E-08	16.5394	0.0689279	22.8503	1.00085	24.3438	1.54857E-43	9.36287
ENSG00000233234.1	0	0	0	0	0	0	0	0	0	0
ENSG00000231630.1	0	0	0	0	0	0	0	0	0	0
ENSG00000169717.5	0	0	0	0	0	0	0	0	0	0
ENSG00000067606.11	18.1889	0	5.87688E-120	0.418832	8.15581	0.00205466	4.13154	1.25962	1.93437E-81	3.44379E-31
ENSG00000269554.1	0	0	0	0.0879157	0	0	0	0	0	0
ENSG00000234396.3	0	0	0	0	0	0.0173239	0	0	0	0
ENSG00000271806.1	0	0	0	0	0	0	0	0	0	0
ENSG00000182873.4	0	0	0	0	0	0	0	0	0	0
ENSG00000162585.12	20.0943	4.20182	0.517394	0.822327	0	0	0.192728	8.5059	7.79625	1.34056
ENSG00000203301.2	0	0	0	0	0	0	0	0	0	0
ENSG00000243558.1	0	0	0	0	0	0	0	0	0	0
ENSG00000177133.6	0	0	0	0	4.57539	0	0	12.1221	0	0
ENSG00000256761.1	0	0	0	0	0	0	0	0	0	0
ENSG00000157870.10	0	0	46.544	0	0.676148	13.5162	0.0548489	0.656261	0	10.3574
ENSG00000237058.1	0	0	0	0	0	0	0	0	0	0
ENSG00000142606.11	0.0150647	0	0	0	0.281938	8.76817	1.14732E-219	6.42064E-302	0	3.70418
ENSG00000215912.7	0.0126499	0	0	0.000989979	0	0	0	0	0	0
ENSG00000272088.1	0	0	0	0	0	0	0	0	0	0
ENSG00000130762.10	17.542	0	0	0	16.4483	0	0	0.10745	0	0
ENSG00000238260.1	0	0	0	0	0	0	0	0	0	0
ENSG00000162591.11	0.00392606	0	0	0	0	0	0	0	0	0
ENSG00000207776.1	0	0	0	0	0	0	0	0	0	0
ENSG00000158109.10	24.5534	1.40773	0	0	0	0.282289	0.0319053	10.0676	7.19101	4.21008
ENSG00000142611.12	0.00564026	0	0.000344119	0.159453	0	0	1.86405E-05	0.00115262	0.94444	0
ENSG00000226286.1	0	0	0	0	0	0	0	0	0	0
ENSG00000272235.1	0.0436762	0	0	0	0	0	0	0	0	0
ENSG00000162592.4	0.00835478	0	0	0	0	0	0	0	0	0
ENSG00000235169.3	5.75116	0	0	0	0	0	0	2.29277	0	0
ENSG00000131584.14	0.093797	0	0	8.60473	0	0	0.298174E-307	0	0	0
ENSG00000127054.14	112.034	23.5742	40.7817	30.0144	35.9518	43.8432	28.2028	37.5245	93.5031	38.6675
ENSG00000240731.1	3.41485	16.0766	12.4885	0	19.9727	0	0	0	0	0
ENSG00000169972.7	33.5837	20.0929	89.4486	41.5067	0.677184	0.255891	16.6654	0.910021	0	0.280861
ENSG00000130764.5	15.1158	5.41079	10.073	25.431	0.134473	1.27725	0	4.04098	0.862118	0.162157
ENSG00000266075.1	0	0	0	0	0	0	0	0	0	0
ENSG00000272153.1	0	0	0	0	0	0	0	0	0	0
ENSG00000116198.8	28.2724	11.5649	47.1075	16.9145	37.5506	37.56	40.8609	0.910381	0.559251	0.00433716
ENSG00000198912.6	0.139625	6.57709	6.3774	14.8157	0.529728	0	0.0436746	14.2222	3.76274	29.2882
ENSG00000236423.1	0.00955884	0	0	0	0	0	0	0	0	0
ENSG00000233304.1	0	0	0	0	0	0	0	0	0	0
ENSG00000226374.1	0	0	0	0	0	0	0	0	0	0
ENSG00000229280.1	0	0	0	0	0	0	0	0	0	0
ENSG00000169598.11	13.7503	30.3441	12.5284	0	2.98985	2.10494	0.706753	0.310469	0	0.886601
ENSG00000264428.1	0	0	0	0	0	0	0	0	0	0
ENSG00000235054.1	0	0	0	0	0	0	0	0	0	0
ENSG00000227169.2	0	0	0	0	0	0	0	0	0	0
ENSG00000231510.1	0	0	0	0	0	0	0	0	0.00343061	0
ENSG00000232596.1	0.0136514	0	0.0036438	0	0	0	0	0	0	0
ENSG00000260972.1	0	0	0	0	0	0	0	0	0	0
ENSG00000264341.1	0	0	0	0	0	0	0	0	0	0
ENSG00000216045.2	0	0	0	0	0	0	0	0	0	0
ENSG00000264101.1	0	0	0	0	0	0	0	0	0	0
ENSG00000236948.1	0.00590393	0	0	0	0	0	0.000767719	0	0.00214251	0
ENSG00000238164.2	0	0	0	0	0	0	0	0	0	0
ENSG00000157873.13	0	0	0	0	0	0	0	0	0	0
ENSG00000196581.6	0.0139053	0.00018443	0	0	0	0	0	0	0	0
ENSG00000116213.11	30.2806	75.659	3.21331	50.156	8.14137	72.4472	8.43526	51.3599	95.1722	2.4932
ENSG00000227589.1	0.0123816	0	0	0	0	0	0	0	0	0
ENSG00000235131.1	0	0	0	0	0	0	0	0	0	0
ENSG00000227372.6	4.59247	9.93063	3.87427	2.20611	63.4402	16.804	0.141108	17.89	55.3987	26.4313
ENSG00000078900.10	0.00428562	7.20207	71.5396	0	3.65728	10.4326	0	2.54289	0	4.3999
ENSG00000116254.13	0.00406685	0	0	0	0	0	0.00158651	0	0	0
ENSG00000173673.7	0	0	0	0	0	0	0	0	0	0
ENSG00000225077.2	21.2314	0	0	0	0	0	0.0695774	25.6288	0.16305	3.18416
ENSG00000158292.6	0.689258	3.03304	0	0	0	0	30.6452	24.6789	3.82634	0
ENSG00000131697.13	0.00613455	1.71661	0	0.00115222	0.0289354	0	7.02387	0	0	0
ENSG00000266687.1	0	0	0	0	0	0	0	0	0	0
ENSG00000268332.1	0	0	0	0	0	0	0	0	0	0
ENSG00000069424.10	0.0548789	0	0	0.00136202	0	0	0	0	0	0.00177823
ENSG00000069812.7	0.0395034	0	0	0	0	0	0	0	0	0
ENSG00000173662.15	0	0	0	0.00204295	0	0	0	0	0	0
ENSG00000204859.7	0.0175697	0	0	98.5811	3.30401	0	0	15.8548	0	28.933
ENSG00000097021.15	15.1226	65.0395	50.5502	65.7109	39.7668	0.00123318	0.296252	19.9298	21.6605	102.717
ENSG00000271746.1	0	0	0	0	0	0	0	0	0	0
ENSG00000162408.10	26.0615	8.98164	27.5399	5.45024	5.92938	0.36638	4.63494	7.09282	2.96787	4.27245
ENSG00000253022.1	0	0	0	0	0	0	0	0	0	0
ENSG00000229519.2	0	0	0	0	0	0	0	0	0	0
ENSG00000162413.12	0.0747407	0.161389	14.3384	7.27974	0.0762547	34.9296	0	0.190482	0	0
ENSG00000116273.5	6.94983	0	9.79883	25.3599	12.9248	27.5734	8.80423	38.898	5.12698	24.2066
ENSG00000239166.1	0	0	0	0	0	0	0	0	0	0
ENSG00000228750.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237436.1	0	0	0	0	0	0	0	0	0	0
ENSG00000187017.10	0.00873885	0	0	0	0	0	0	0	0	0
ENSG00000265392.1	0	0	0	0	0	0	0	0	0	0
ENSG00000231868.1	0	0	0	0	0	0	0	0	0	0
ENSG00000215788.5	0	0	0	0	0	0	0	0	0	0
ENSG00000171680.16	0.0355987	0	0	0.00277563	0	0	0	0	0	0
ENSG00000049246.10	9.04464	0.0037669	0	0.0024602	0	0	0	0	0	4.05303
ENSG00000236266.1	0.00558027	0	0	0	0	0	0	0	0	0
ENSG00000049247.9	0	0	0	0	0	0	0	0	0	7.37563E-140
ENSG00000049249.4	0	0	0	0	0	25.6777	0	0.401517	0	0
ENSG00000049245.8	129.23	144.921	162.531	138.864	27.4446	71.9276	143.03	181.762	394.66	148.038
ENSG00000269925.1	0	0	0	0	0	0	0	0	0	0
ENSG00000270330.1	0	0	0	0	0	0	0	0	0	0
ENSG00000041988.11	0.224038	144.852	12.7013	9.86003	59.1019	95.8642	109.391	21.9336	63.7876	86.4799
ENSG00000007923.11	1.48341	2.69219	5.54041E-12	2.75363	28.7146	0	8.50537E-08	7.43993	8.78418E-16	8.59284
ENSG00000116251.5	173.922	127.324	181.183	211.702	245.242	248.517	114.593	176.965	212.965	192.3
ENSG00000226944.1	0	0	0	0	0	0	0	0	0	0
ENSG00000116237.11	138.595	94.9406	190.446	59.3604	147.982	46.347	64.8602	136.229	79.5545	57.9793
ENSG00000158286.8	0.0537251	0	0	0.0405523	4.76229E-88	4.00788E-182	3.39617	0	0	0
ENSG00000116285.8	0.610229	9.89552	51.0211	15.7095	41.5841	19.7769	17.3489	40.7907	0.0603973	20.2031
ENSG00000229305.1	0	0	0	0	0	0	0	0	0	0
ENSG00000200975.1	0	0	0	0	0	0	0	0	0	0
ENSG00000227634.1	0	0	0	0	0	0	0	0	0	0
ENSG00000233645.1	0	0	0	0	0	0	0	0	0	0
ENSG00000265414.1	0	0	0	0	0	0	0	0	0	0
ENSG00000238290.1	0.00497649	0	0	0.00155786	0	0	0	0	0	0
ENSG00000232848.1	0	0	0	0	0	0	0	0	0	0
ENSG00000251977.1	0	0	0	0	0	0	0	0	0	0
ENSG00000162426.10	0	0	0	0	0	0	0	0	0	0
ENSG00000252254.1	0	0	0	0	0	0	0	0	0	0
ENSG00000229716.2	0	0	0	0	0	0	0	0	0	0
ENSG00000171735.14	244.487	353.137	160.653	164.156	165.334	277.867	35.3162	40.9439	217.013	238.284
ENSG00000207056.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237402.1	0	0	0	0	0	0	0	0	0	0
ENSG00000227950.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237365.1	0	0	0	0	0	0	0	0	0	0
ENSG00000237728.1	0.0170178	0	0	0	0	0	0	0	0	0
ENSG00000225126.1	0	0	0	0	0	0	0	0	0	0
ENSG00000270171.1	0	0	0	0	0	0	0	0	0	0
ENSG00000270035.1	0	0	0	0	0	0	0	0	0	0
ENSG00000269978.1	0	0	0	0	0	0	0	0	0	0
ENSG00000230021.3	3.85044	3.88012	3.71809	3.64706	3.59313	4.94694	4.46721	3.4622	3.43783	3.74038
ENSG00000223659.1	0	0	0	0	0	0	0	0	0	0
ENSG00000185097.2	2.2611E-18	0	0	0	0	0	0	0	0	0
ENSG00000225972.1	1025.33	1112.57	1103.46	1198.09	1104.97	997.623	1326.91	1070.15	1020.98	1059.56
ENSG00000225630.1	1394.87	1227.96	1130.47	1209.82	1344.95	1124.86	1364.3	1126.49	1143.73	1113.43
ENSG00000237973.1	962.957	1020.75	945.624	1068.35	920.24	978.026	1333.51	923.132	918.45	879.528
ENSG00000229344.1	183.803	189.545	180.188	220.293	174.02	146.422	227.731	191.048	168.934	171.091
ENSG00000240409.1	9.68919	0	1.22792E-05	1.39656E-05	10.0512	4.03882	5.69486	0.000111233	6.98277	0
ENSG00000248527.1	4054.91	4139.89	3857.32	4563.04	3963.91	3752.06	5213.85	3912.78	3728.5	3767.15
ENSG00000198744.5	270.997	262.68	280.212	361.367	256.541	239.152	389.432	283.494	270.706	290.427
ENSG00000268663.1	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	8.05935E-23	0	0	0	0	0	0	0	0	4.81137E-10
ENSG00000201725.1	0	0	0	0	0	0	0	0	0	0
ENSG00000238249.1	0	0.15211	0	0	0	0.268815	0.0416942	0.0914501	0	0
ENSG00000232208.2	0	0	0	0	0	0	0	0	0	0
ENSG00000232663.2	0	0	0	0	0	0	0	0	0	0
ENSG00000265141.1	0	0	0	0	0	0	0	0	0	0
ENSG00000197241.3	0.00696327	0	0	0	3.35356	0	0	0	0	0
ENSG00000131686.10	0.0164356	0	0	0	0	0	0	0	0	0
ENSG00000207865.1	0	0	0	0	0	0	0	0	0	0
ENSG00000142599.13	34.9954	10.6567	1.54856	11.6116	11.7759	19.1007	2.33447	0.456352	22.8507	0
ENSG00000221083.1	0	0	0	0	0	0	0	0	0	0
ENSG00000224315.2	0	0	0	0	0	0	0	0	0	0
ENSG00000222511.1	0	0	0	0	0	0	0	0	0	0
ENSG00000228423.2	0	0	0	0	0	0	0	0	0	0
ENSG00000232912.1	0.00477558	0	0	0	8.99622	0	0	0.594315	0	0
ENSG00000270282.1	0	0	0	0	0	0	0	0	0	0
ENSG00000234619.1	0	0	0.0439423	0	0	0	0	0.110504	0.137406	0
ENSG00000226545.1	0	0	0	0	0	0	0	0	0	0
ENSG00000142583.13	0.00896605	0	0	0	0	0	0	0	0	0
ENSG00000252404.1	0	0	0	0	0	0	0	0	0	0
ENSG00000180758.10	0.569066	0	22.0346	0	13.8247	8.29707	0.0123455	0.0715174	0	0
ENSG00000252841.1	0	0	0	0	0	0	0	0	0	0
ENSG00000228526.2	9.41403E-08	0	0	0	0	0	0	0	0	0
ENSG00000234546.2	0.0164654	0	0	0	0	0	0	0	0	0
ENSG00000252956.1	0	0	0	0	0	0	0	0	0	0
ENSG00000049239.8	0.0298255	0	0	0	0	0	0.0139219	0.428183	0.210884	6.63013
ENSG00000235263.1	0	0	0	0	0	0	0	0	0	0
ENSG00000171621.9	0.00623425	0	0	0.232243	0	0	0	0	0	0
ENSG00000188807.8	0.0495092	0	3.21202	1.86182	0.0298943	0.214952	0.0171902	7.93979	1.00584	1.2167
ENSG00000171612.6	0.131899	0	0.317408	6.77964	15.4724	5.34315	2.6451	0.223967	0	5.26219
ENSG00000231181.1	0	0	0	0	0	0	0	0	0	0
ENSG00000178585.10	2.40165	0.39157	0.327822	1.68831	8.04842E-07	0.358858	1.488	1.15133E-06	0.15843	0
ENSG00000223989.1	0.689179	3.47594	31.0048	88.7432	0.0675751	8.97242	14.7477	0.0848594	11.3214	0
ENSG00000225786.2	0	0	0	0	0	0	0	0	0	0
ENSG00000162444.11	0	0	0	0	0	0	0	0	0	0
ENSG00000116288.8	690.369	561.334	695.978	431.174	432.304	712.926	614.527	681.19	677.67	547.84
ENSG00000200344.1	0	0	0	0	0	0	0	0	0	0
ENSG00000265945.1	0	0	0	0	0	0	0	0	0	0
ENSG00000142657.16	1.9334	38.1428	9.41137	11.3786	52.2616	33.9104	7.56659	38.4916	19.5672	33.0299
ENSG00000130939.14	0.031582	0	0.0253268	0	0.386547	0.0274573	0	0.0536131	0	0
ENSG00000233623.2	0	0	0	0	0	0	0	0	0	0
ENSG00000201746.1	0	0	0	0	0	0	0	0	0	0
ENSG00000224340.1	0	0	0	0	0	0	0	0	0	0
ENSG00000054523.12	8.34665	0	6.4455	6.0925	0.0743763	5.42698	0.110104	1.45226	7.42805	2.54248
ENSG00000264881.1	0	0	0	0	0	0	0	0	0	0
ENSG00000199562.1	0	0	0	628.744	0	452.292	0	0	378.375	921.341
ENSG00000264501.1	0	0	0	0	3.19473	0	0	0	0	0
ENSG00000074800.9	429.517	622.302	529.756	652.556	392.993	537.155	739.445	478.072	446.601	639.559
ENSG00000236269.1	0	0	0	0	0	0	0	0	0	0
ENSG00000230679.1	0	0	0	0	0	0	0	0	0	0
ENSG00000225158.2	0	0	0	0	0	0	0	0	0	0
ENSG00000271989.1	0	1.28619E-45	0	9.62477E-56	5.21239E-81	5.12679E-234	1.71153E-10	5.55037E-10	0	2.42821E-114
ENSG00000175279.17	56.3175	105.714	148.148	103.206	132.194	86.5619	42.8422	53.8472	42.5053	158.516
